Mode#	Card Type	Graphics	Text Res	Char Size	Pixel Bits	Type
$0	VGA	320X200	40X25	8x8	4	Text
$1 	VGA	320X200	40X25	8x8	4	Text
$2 	VGA	640X400	80X25	8x16	4	Text
$3 	VGA	640X400	80X25	8x16	4	Text
$4 	CGA	320X200	40X25	8x8	2	Graphics
$5 	CGA	320X200	40X25	8x8	2	Graphics
$6 	CGA	640X200	80X25	8x8	1	Graphics
$7 	VGA	640X400	80X25	8x16	1	Text
$8 	PCJR	160X200	20X25	8x8	4	Graphics
$9 	PCJR	320X200	40X25	8x8	4	Graphics
$A	PCJR	640X200	80X25	8x8	2	Graphics
$B	EGA	320X200	40X25	8x8	4	Graphics
$C	EGA	640X200	80X25	8x8	2	Graphics
$D	EGA	320X200	40X25	8x8	4	Graphics
$E	EGA	640X200	80X25	8x8	4	Graphics
$F	EGA	640X350	80X25	8x16	1	Graphics
$10 	EGA	640X350	80X25	8x16	4	Graphics
$11 	VGA	640X480	80X30	8x16	1	Graphics
$12 	VGA	640X480	80X30	8x16	4	Graphics
$13 	VGA	320X200	40X25	8x8	8	Graphics
$6A	VESA	800X600	100X38	8x16	4	Graphics
$100 	VESA	640X400	80X25	8x16	8	Graphics
$101 	VESA	640X480	80X30	8x16	8	Graphics
$102 	VESA	800X600	100X38	8x16	4	Graphics
$103 	VESA	800X600	100X38	8x16	8	Graphics
$104 	VESA	1024X768	128X48	8x16	4	Graphics
$105 	VESA	1024X768	128X48	8x16	8	Graphics
$106 	VESA	1280X1024	160X64	8x16	4	Graphics
$107 	VESA	1280X1024	160X64	8x16	8	Graphics
$108 	VESA	640X960	80X60	8x16	4	Text
$109 	VESA	1056X400	132X25	8x16	4	Text
$10A	VESA	1056X688	132X43	8x16	4	Text
$10B	VESA	1056X800	132X50	8x16	4	Text
$10C	VESA	1056X960	132X60	8x16	4	Text
$10D	VESA	320X200	40X25	8x8	15	Graphics
$10E	VESA	320X200	40X25	8x8	16	Graphics
$10F	VESA	320X200	40X25	8x8	24	Graphics
$110 	VESA	640X480	80X30	8x16	15	Graphics
$111 	VESA	640X480	80X30	8x16	16	Graphics
$112 	VESA	640X480	80X30	8x16	24	Graphics
$113 	VESA	800X600	100X38	8x16	15	Graphics
$114 	VESA	800X600	100X38	8x16	16	Graphics
$115 	VESA	800X600	100X38	8x16	24	Graphics
$116 	VESA	1024X768	128X48	8x16	15	Graphics
$117 	VESA	1024X768	128X48	8x16	16	Graphics
$118 	VESA	1024X768	128X48	8x16	24	Graphics
$119 	VESA	1280X1024	160X64	8x16	15	Graphics
$11A	VESA	1280X1024	160X64	8x16	16	Graphics
$11B	VESA	1280X1024	160X64	8x16	24	Graphics
$130 	VESA	320X200	40X25	8x8	8	Graphics
$131 	VESA	320X400	40X25	8x16	8	Graphics
$132 	VESA	320X400	40X25	8x16	16	Graphics
$133 	VESA	320X400	40X25	8x16	32	Graphics
$134 	VESA	320X240	40X30	8x8	8	Graphics
$135 	VESA	320X240	40X30	8x8	16	Graphics
$136 	VESA	320X240	40X30	8x8	32	Graphics
$13D	VESA	640X400	80X25	8x16	16	Graphics
$13E	VESA	640X400	80X25	8x16	32	Graphics
$145 	VESA	1600X1200	200X75	8x16	8	Graphics
$146 	VESA	1600X1200	200X75	8x16	16	Graphics
$14A	VESA	1600X1200	200X75	8x16	32	Graphics
